,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3
104,0.46522298,1.9999999e-07,0.0025779144,1.6,1.112,1.758e-05,260.9002,13,0.05812264480579317,-0.13653112039467927,-0.1621571506807207
105,1.8132721,1.9000001e-07,0.0031252103,0.8,1.112,1.758e-05,158.14488,10,-0.08585328009245839,0.25697460180060266,-0.0733104779603565
106,1.0650238,9e-08,0.0012450136,1.4,1.112,1.758e-05,110.252396,14,0.10917955607806815,-0.3127611577311376,0.11533645531732033
107,0.6264075,1.2e-07,0.0015861116,1.7,1.112,1.758e-05,170.55664,14,-0.3795493507711285,-0.11602664907923793,0.06405725867547314
108,0.4054388,1.9999999e-07,0.002640585,1.7,1.112,1.758e-05,283.9455,15,0.3630043069684355,-0.17213951318330506,-0.15916991163415065
109,0.55006856,1.6999999e-07,0.0020148598,1.7,1.112,1.758e-05,216.66048,14,0.24821454406264026,-0.11520453566727465,-0.042417738251434425
110,4.161674,1.6999999e-07,0.0020058353,0.7,1.112,1.758e-05,88.813545,10,0.10180155073974698,0.23116276360342813,-0.04287388109765927
111,0.8210598,1.2e-07,0.0011790983,1.8,1.112,1.758e-05,134.2482,14,-0.38771285141377276,-0.05372033452770446,0.01352557133286803
112,0.7610606,2e-06,0.0041617844,2.6,1.112,1.758e-05,684.44543,14,-0.3217771076251564,-0.01928050586005415,0.2570784156622297
113,2.3707063,3e-07,0.0021604374,1.0,1.112,1.758e-05,136.65565,14,-0.12001068124731339,-0.31265171231123956,-0.007108956849789891
114,1.179608,1.2e-07,0.0016137882,1.2,1.112,1.758e-05,122.49369,12,-0.12803311933928713,-0.1803353409338869,-0.16878326370587102
115,0.8704245,3e-07,0.0017028586,2.0,1.112,1.758e-05,215.42421,14,-0.4748037618641436,0.2197427098312269,-0.05451432633165047
116,0.59712905,9e-08,0.0010998693,2.0,1.112,1.758e-05,139.1416,14,-0.3546964951120188,-0.13016500713452545,-0.07076440015961755
117,2.4965048,6e-08,0.0010614787,0.9,1.112,1.758e-05,60.428215,15,-0.37796951912515375,-0.03162339334182932,-0.18624297518468858
118,1.9632071,1.3e-06,0.0024541563,2.1,1.112,1.758e-05,325.99234,13,-0.018813042521468946,-0.039785315566098614,-0.21210360873303133
119,0.52618927,8.1e-07,0.0071254936,1.4,1.112,1.758e-05,630.9993,2,0.07685009539427172,0.3517093378374876,0.009774308939705614
120,1.0946602,5.1e-07,0.0050475737,1.0,1.112,1.758e-05,319.2777,1,0.0533935943166159,0.16320005813483615,-0.07133104814410453
121,2.1729589,1.9999999e-07,0.0017676872,1.0,1.112,1.758e-05,111.812744,15,0.013129724573765126,-0.3562273483208172,-0.10182074051747989
122,0.86299545,2e-06,0.0032607985,2.8,1.112,1.758e-05,577.5212,15,0.3916681407502747,-0.18746170416401778,-0.17740353476199702
123,1.9971843,1.6999999e-07,0.001797872,1.0,1.112,1.758e-05,113.72205,14,-0.307417994321777,-0.06997425598948387,0.09082889413634589
124,0.4725349,3e-07,0.0019904233,2.3,1.112,1.758e-05,289.57376,15,-0.18376162924443892,-0.2590010437329849,-0.11714827294846161
125,0.9947606,5.3e-07,0.0040309685,1.4,1.112,1.758e-05,356.96313,3,0.1341421137324977,0.2616303606336474,6.138299859938705e-05
126,0.7843355,9e-08,0.0015749868,1.2,1.112,1.758e-05,119.5485,13,0.2856749760247206,0.16740608974418839,-0.14391143837036852
127,1.327452,1.5999999e-06,0.0027662937,2.4,1.112,1.758e-05,419.94797,15,0.3575088082503128,-0.2780397744843264,-0.15336000828137655
